id,admin,cofog,gfsmExpense,programID,type,amount
19283,101002 National Assembly of RA,1.1.1,4.1.1.1,1010101,personnel,1313537200
19284,101002 National Assembly of RA,1.1.1,4.1.1.3,1010101,personnel,28617600
19285,101002 National Assembly of RA,1.1.1,4.1.3.1,1010101,personnel,190986000
19286,101002 National Assembly of RA,1.1.1,4.2.1.2,1010101,non-personnel recurrent,133670400
19287,101002 National Assembly of RA,1.1.1,4.2.1.3,1010101,non-personnel recurrent,32341800
19288,101002 National Assembly of RA,1.1.1,4.2.1.4,1010101,non-personnel recurrent,128983400
19289,101002 National Assembly of RA,1.1.1,4.2.1.5,1010101,non-personnel recurrent,4320000
19290,101002 National Assembly of RA,1.1.1,4.2.1.6,1010101,non-personnel recurrent,14580100
19291,101002 National Assembly of RA,1.1.1,4.2.2.0,1010101,non-personnel recurrent,350000000
19292,101002 National Assembly of RA,1.1.1,4.2.2.2,1010101,non-personnel recurrent,0
19293,101002 National Assembly of RA,1.1.1,4.2.3.1,1010101,non-personnel recurrent,6000000
19294,101002 National Assembly of RA,1.1.1,4.2.3.2,1010101,non-personnel recurrent,3000000
19295,101002 National Assembly of RA,1.1.1,4.2.3.4,1010101,non-personnel recurrent,15856000
19296,101002 National Assembly of RA,1.1.1,4.2.3.7,1010101,non-personnel recurrent,195000000
19297,101002 National Assembly of RA,1.1.1,4.2.5.2,1010101,non-personnel recurrent,8000000
19298,101002 National Assembly of RA,1.1.1,4.2.6.1,1010101,non-personnel recurrent,52862200
19299,101002 National Assembly of RA,1.1.1,4.2.6.2,1010101,non-personnel recurrent,5653000
19300,101002 National Assembly of RA,1.1.1,4.2.6.4,1010101,non-personnel recurrent,123958400
19301,101002 National Assembly of RA,1.1.1,4.2.6.7,1010101,non-personnel recurrent,19344600
19302,101002 National Assembly of RA,1.1.1,4.2.6.9,1010101,non-personnel recurrent,38333800
19303,101002 National Assembly of RA,1.1.1,4.7.2.9,1010101,non-personnel recurrent,23580000
19304,101002 National Assembly of RA,1.1.1,4.8.2.0,1010101,non-personnel recurrent,869000
19305,101002 National Assembly of RA,1.1.1,4.8.2.3,1010101,non-personnel recurrent,0
19306,101002 National Assembly of RA,1.1.1,4.8.6.1,1010101,non-personnel recurrent,50000000
19307,105034 Control Chamber of RA,1.1.1,4.1.1.1,1010102,personnel,612242000
19308,105034 Control Chamber of RA,1.1.1,4.1.1.3,1010102,personnel,47205600
19309,105034 Control Chamber of RA,1.1.1,4.1.3.1,1010102,personnel,60452400
19310,105034 Control Chamber of RA,1.1.1,4.2.1.2,1010102,non-personnel recurrent,2621500
19311,105034 Control Chamber of RA,1.1.1,4.2.1.4,1010102,non-personnel recurrent,14469900
19312,105034 Control Chamber of RA,1.1.1,4.2.1.5,1010102,non-personnel recurrent,640000
19313,105034 Control Chamber of RA,1.1.1,4.2.1.6,1010102,non-personnel recurrent,25812000
19314,105034 Control Chamber of RA,1.1.1,4.2.2.0,1010102,non-personnel recurrent,53892200
19315,105034 Control Chamber of RA,1.1.1,4.2.2.1,1010102,non-personnel recurrent,0
19316,105034 Control Chamber of RA,1.1.1,4.2.2.2,1010102,non-personnel recurrent,0
19317,105034 Control Chamber of RA,1.1.1,4.2.3.1,1010102,non-personnel recurrent,620000
19318,105034 Control Chamber of RA,1.1.1,4.2.3.2,1010102,non-personnel recurrent,1967800
19319,105034 Control Chamber of RA,1.1.1,4.2.3.4,1010102,non-personnel recurrent,4923600
19320,105034 Control Chamber of RA,1.1.1,4.2.3.5,1010102,non-personnel recurrent,5000000
19321,105034 Control Chamber of RA,1.1.1,4.2.3.7,1010102,non-personnel recurrent,1500000
19322,105034 Control Chamber of RA,1.1.1,4.2.5.2,1010102,non-personnel recurrent,4024000
19323,105034 Control Chamber of RA,1.1.1,4.2.6.1,1010102,non-personnel recurrent,6459900
19324,105034 Control Chamber of RA,1.1.1,4.2.6.4,1010102,non-personnel recurrent,15200000
19325,105034 Control Chamber of RA,1.1.1,4.2.6.7,1010102,non-personnel recurrent,2207400
19326,105034 Control Chamber of RA,1.1.1,4.8.2.0,1010102,non-personnel recurrent,176000
19327,105034 Control Chamber of RA,1.1.1,4.8.2.3,1010102,non-personnel recurrent,0
19328,101001 Staff of President of RA,1.1.1,4.1.1.1,1010103,personnel,530901500
19329,101001 Staff of President of RA,1.1.1,4.1.1.3,1010103,personnel,18259700
19330,101001 Staff of President of RA,1.1.1,4.1.3.1,1010103,personnel,81035400
19331,101001 Staff of President of RA,1.1.1,4.2.1.2,1010103,non-personnel recurrent,91126700
19332,101001 Staff of President of RA,1.1.1,4.2.1.3,1010103,non-personnel recurrent,11412000
19333,101001 Staff of President of RA,1.1.1,4.2.1.4,1010103,non-personnel recurrent,74752500
19334,101001 Staff of President of RA,1.1.1,4.2.1.5,1010103,non-personnel recurrent,2737000
19335,101001 Staff of President of RA,1.1.1,4.2.1.6,1010103,non-personnel recurrent,25000000
19336,101001 Staff of President of RA,1.1.1,4.2.2.0,1010103,non-personnel recurrent,579133200
19337,101001 Staff of President of RA,1.1.1,4.2.2.1,1010103,non-personnel recurrent,0
19338,101001 Staff of President of RA,1.1.1,4.2.2.2,1010103,non-personnel recurrent,0
19339,101001 Staff of President of RA,1.1.1,4.2.3.1,1010103,non-personnel recurrent,11000000
19340,101001 Staff of President of RA,1.1.1,4.2.3.2,1010103,non-personnel recurrent,1550000
19341,101001 Staff of President of RA,1.1.1,4.2.3.4,1010103,non-personnel recurrent,20000000
19342,101001 Staff of President of RA,1.1.1,4.2.3.5,1010103,non-personnel recurrent,33000000
19343,101001 Staff of President of RA,1.1.1,4.2.3.6,1010103,non-personnel recurrent,17000000
19344,101001 Staff of President of RA,1.1.1,4.2.3.7,1010103,non-personnel recurrent,225940000
19345,101001 Staff of President of RA,1.1.1,4.2.5.1,1010103,non-personnel recurrent,25000000
19346,101001 Staff of President of RA,1.1.1,4.2.5.2,1010103,non-personnel recurrent,434179200
19347,101001 Staff of President of RA,1.1.1,4.2.6.1,1010103,non-personnel recurrent,31366500
19348,101001 Staff of President of RA,1.1.1,4.2.6.2,1010103,non-personnel recurrent,2666500
19349,101001 Staff of President of RA,1.1.1,4.2.6.4,1010103,non-personnel recurrent,138048600
19350,101001 Staff of President of RA,1.1.1,4.2.6.7,1010103,non-personnel recurrent,35100000
19351,101001 Staff of President of RA,1.1.1,4.5.1.1,1010103,non-personnel recurrent,254718800
19352,101001 Staff of President of RA,1.1.1,4.8.2.0,1010103,non-personnel recurrent,708300
19353,101001 Staff of President of RA,1.1.1,4.8.2.2,1010103,non-personnel recurrent,0
19354,101001 Staff of President of RA,1.1.1,4.8.2.3,1010103,non-personnel recurrent,0
19355,101001 Staff of President of RA,1.1.1,4.8.6.1,1010103,non-personnel recurrent,247886800
19356,101003 RA Government Staff,1.1.1,4.1.1.1,1010103,personnel,404639400
19357,101003 RA Government Staff,1.1.1,4.1.1.3,1010103,personnel,21083800
19358,101003 RA Government Staff,1.1.1,4.1.1.5,1010103,personnel,44244400
19359,101003 RA Government Staff,1.1.1,4.1.3.1,1010103,personnel,69812400
19360,101003 RA Government Staff,1.1.1,4.2.1.2,1010103,non-personnel recurrent,133750600
19361,101003 RA Government Staff,1.1.1,4.2.1.3,1010103,non-personnel recurrent,22394900
19362,101003 RA Government Staff,1.1.1,4.2.1.4,1010103,non-personnel recurrent,143500000
19363,101003 RA Government Staff,1.1.1,4.2.1.5,1010103,non-personnel recurrent,4000000
19364,101003 RA Government Staff,1.1.1,4.2.2.0,1010103,non-personnel recurrent,90000000
19365,101003 RA Government Staff,1.1.1,4.2.2.1,1010103,non-personnel recurrent,0
19366,101003 RA Government Staff,1.1.1,4.2.2.2,1010103,non-personnel recurrent,0
19367,101003 RA Government Staff,1.1.1,4.2.3.1,1010103,non-personnel recurrent,3500000
19368,101003 RA Government Staff,1.1.1,4.2.3.2,1010103,non-personnel recurrent,20000000
19369,101003 RA Government Staff,1.1.1,4.2.3.4,1010103,non-personnel recurrent,36550000
19370,101003 RA Government Staff,1.1.1,4.2.3.7,1010103,non-personnel recurrent,95000000
19371,101003 RA Government Staff,1.1.1,4.2.5.1,1010103,non-personnel recurrent,1000000
19372,101003 RA Government Staff,1.1.1,4.2.5.2,1010103,non-personnel recurrent,16000000
19373,101003 RA Government Staff,1.1.1,4.2.6.1,1010103,non-personnel recurrent,51000000
19374,101003 RA Government Staff,1.1.1,4.2.6.4,1010103,non-personnel recurrent,180000000
19375,101003 RA Government Staff,1.1.1,4.8.2.0,1010103,non-personnel recurrent,2200000
19376,101003 RA Government Staff,1.1.1,4.8.2.3,1010103,non-personnel recurrent,0
19377,101003 RA Government Staff,1.1.1,4.8.6.1,1010103,non-personnel recurrent,50000000
19378,106002 Aragatsotn Marzpetaran,1.1.1,4.1.1.1,1010103,personnel,149361900
19379,106002 Aragatsotn Marzpetaran,1.1.1,4.1.1.3,1010103,personnel,12575100
19380,106002 Aragatsotn Marzpetaran,1.1.1,4.1.1.5,1010103,personnel,3458800
19381,106002 Aragatsotn Marzpetaran,1.1.1,4.1.3.1,1010103,personnel,26500500
19382,106002 Aragatsotn Marzpetaran,1.1.1,4.2.1.2,1010103,non-personnel recurrent,6559500
19383,106002 Aragatsotn Marzpetaran,1.1.1,4.2.1.3,1010103,non-personnel recurrent,338400
19384,106002 Aragatsotn Marzpetaran,1.1.1,4.2.1.4,1010103,non-personnel recurrent,10671700
19385,106002 Aragatsotn Marzpetaran,1.1.1,4.2.1.5,1010103,non-personnel recurrent,320000
19386,106002 Aragatsotn Marzpetaran,1.1.1,4.2.1.6,1010103,non-personnel recurrent,600000
19387,106002 Aragatsotn Marzpetaran,1.1.1,4.2.2.0,1010103,non-personnel recurrent,2400000
19388,106002 Aragatsotn Marzpetaran,1.1.1,4.2.2.1,1010103,non-personnel recurrent,0
19389,106002 Aragatsotn Marzpetaran,1.1.1,4.2.3.2,1010103,non-personnel recurrent,150000
19390,106002 Aragatsotn Marzpetaran,1.1.1,4.2.3.4,1010103,non-personnel recurrent,150000
19391,106002 Aragatsotn Marzpetaran,1.1.1,4.2.3.7,1010103,non-personnel recurrent,300000
19392,106002 Aragatsotn Marzpetaran,1.1.1,4.2.5.2,1010103,non-personnel recurrent,2300000
19393,106002 Aragatsotn Marzpetaran,1.1.1,4.2.6.1,1010103,non-personnel recurrent,1858000
19394,106002 Aragatsotn Marzpetaran,1.1.1,4.2.6.4,1010103,non-personnel recurrent,7412000
19395,106002 Aragatsotn Marzpetaran,1.1.1,4.2.6.7,1010103,non-personnel recurrent,200000
19396,106002 Aragatsotn Marzpetaran,1.1.1,4.7.2.9,1010103,non-personnel recurrent,20000000
19397,106002 Aragatsotn Marzpetaran,1.1.1,4.8.2.0,1010103,non-personnel recurrent,88000
19398,106002 Aragatsotn Marzpetaran,1.1.1,4.8.2.3,1010103,non-personnel recurrent,0
19399,106003 Ararat Marzpetaran,1.1.1,4.1.1.1,1010103,personnel,157346300
19400,106003 Ararat Marzpetaran,1.1.1,4.1.1.3,1010103,personnel,13182100
19401,106003 Ararat Marzpetaran,1.1.1,4.1.1.5,1010103,personnel,2254700
19402,106003 Ararat Marzpetaran,1.1.1,4.1.3.1,1010103,personnel,28366800
19403,106003 Ararat Marzpetaran,1.1.1,4.2.1.2,1010103,non-personnel recurrent,13797500
19404,106003 Ararat Marzpetaran,1.1.1,4.2.1.3,1010103,non-personnel recurrent,373400
19405,106003 Ararat Marzpetaran,1.1.1,4.2.1.4,1010103,non-personnel recurrent,11653400
19406,106003 Ararat Marzpetaran,1.1.1,4.2.1.5,1010103,non-personnel recurrent,320000
19407,106003 Ararat Marzpetaran,1.1.1,4.2.1.6,1010103,non-personnel recurrent,1200000
19408,106003 Ararat Marzpetaran,1.1.1,4.2.2.0,1010103,non-personnel recurrent,2000000
19409,106003 Ararat Marzpetaran,1.1.1,4.2.2.1,1010103,non-personnel recurrent,0
19410,106003 Ararat Marzpetaran,1.1.1,4.2.2.2,1010103,non-personnel recurrent,0
19411,106003 Ararat Marzpetaran,1.1.1,4.2.3.2,1010103,non-personnel recurrent,400000
19412,106003 Ararat Marzpetaran,1.1.1,4.2.3.4,1010103,non-personnel recurrent,2600000
19413,106003 Ararat Marzpetaran,1.1.1,4.2.3.7,1010103,non-personnel recurrent,300000
19414,106003 Ararat Marzpetaran,1.1.1,4.2.3.9,1010103,non-personnel recurrent,100000
19415,106003 Ararat Marzpetaran,1.1.1,4.2.4.1,1010103,non-personnel recurrent,300000
19416,106003 Ararat Marzpetaran,1.1.1,4.2.5.2,1010103,non-personnel recurrent,1662000
19417,106003 Ararat Marzpetaran,1.1.1,4.2.6.1,1010103,non-personnel recurrent,1729000
19418,106003 Ararat Marzpetaran,1.1.1,4.2.6.4,1010103,non-personnel recurrent,8150000
19419,106003 Ararat Marzpetaran,1.1.1,4.2.6.7,1010103,non-personnel recurrent,204500
19420,106003 Ararat Marzpetaran,1.1.1,4.7.2.9,1010103,non-personnel recurrent,20000000
19421,106003 Ararat Marzpetaran,1.1.1,4.8.2.0,1010103,non-personnel recurrent,238000
19422,106003 Ararat Marzpetaran,1.1.1,4.8.2.3,1010103,non-personnel recurrent,0
19423,106004 Armavir Marzpetaran,1.1.1,4.1.1.1,1010103,personnel,169699800
19424,106004 Armavir Marzpetaran,1.1.1,4.1.1.3,1010103,personnel,14050000
19425,106004 Armavir Marzpetaran,1.1.1,4.1.1.5,1010103,personnel,3343600
19426,106004 Armavir Marzpetaran,1.1.1,4.1.3.1,1010103,personnel,29654100
19427,106004 Armavir Marzpetaran,1.1.1,4.2.1.2,1010103,non-personnel recurrent,9773700
19428,106004 Armavir Marzpetaran,1.1.1,4.2.1.3,1010103,non-personnel recurrent,384000
19429,106004 Armavir Marzpetaran,1.1.1,4.2.1.4,1010103,non-personnel recurrent,10727000
19430,106004 Armavir Marzpetaran,1.1.1,4.2.1.5,1010103,non-personnel recurrent,320000
19431,106004 Armavir Marzpetaran,1.1.1,4.2.2.0,1010103,non-personnel recurrent,3325400
19432,106004 Armavir Marzpetaran,1.1.1,4.2.2.1,1010103,non-personnel recurrent,0
19433,106004 Armavir Marzpetaran,1.1.1,4.2.2.2,1010103,non-personnel recurrent,0
19434,106004 Armavir Marzpetaran,1.1.1,4.2.3.2,1010103,non-personnel recurrent,137000
19435,106004 Armavir Marzpetaran,1.1.1,4.2.3.7,1010103,non-personnel recurrent,300000
19436,106004 Armavir Marzpetaran,1.1.1,4.2.5.2,1010103,non-personnel recurrent,508000
19437,106004 Armavir Marzpetaran,1.1.1,4.2.6.1,1010103,non-personnel recurrent,1690000
19438,106004 Armavir Marzpetaran,1.1.1,4.2.6.4,1010103,non-personnel recurrent,9004000
19439,106004 Armavir Marzpetaran,1.1.1,4.2.6.7,1010103,non-personnel recurrent,97900
19440,106004 Armavir Marzpetaran,1.1.1,4.7.2.9,1010103,non-personnel recurrent,20000000
19441,106004 Armavir Marzpetaran,1.1.1,4.8.2.0,1010103,non-personnel recurrent,88000
19442,106004 Armavir Marzpetaran,1.1.1,4.8.2.2,1010103,non-personnel recurrent,0
19443,106005 Gegharkunik Marzpetaran,1.1.1,4.1.1.1,1010103,personnel,244915100
19444,106005 Gegharkunik Marzpetaran,1.1.1,4.1.1.3,1010103,personnel,21603000
19445,106005 Gegharkunik Marzpetaran,1.1.1,4.1.1.5,1010103,personnel,5752600
19446,106005 Gegharkunik Marzpetaran,1.1.1,4.1.3.1,1010103,personnel,41994900
19447,106005 Gegharkunik Marzpetaran,1.1.1,4.2.1.2,1010103,non-personnel recurrent,14507200
19448,106005 Gegharkunik Marzpetaran,1.1.1,4.2.1.3,1010103,non-personnel recurrent,522100
19449,106005 Gegharkunik Marzpetaran,1.1.1,4.2.1.4,1010103,non-personnel recurrent,10710000
19450,106005 Gegharkunik Marzpetaran,1.1.1,4.2.1.5,1010103,non-personnel recurrent,280000
19451,106005 Gegharkunik Marzpetaran,1.1.1,4.2.1.6,1010103,non-personnel recurrent,1370000
19452,106005 Gegharkunik Marzpetaran,1.1.1,4.2.2.0,1010103,non-personnel recurrent,11000000
19453,106005 Gegharkunik Marzpetaran,1.1.1,4.2.2.1,1010103,non-personnel recurrent,0
19454,106005 Gegharkunik Marzpetaran,1.1.1,4.2.3.2,1010103,non-personnel recurrent,800000
19455,106005 Gegharkunik Marzpetaran,1.1.1,4.2.3.4,1010103,non-personnel recurrent,500000
19456,106005 Gegharkunik Marzpetaran,1.1.1,4.2.3.7,1010103,non-personnel recurrent,300000
19457,106005 Gegharkunik Marzpetaran,1.1.1,4.2.3.9,1010103,non-personnel recurrent,200000
19458,106005 Gegharkunik Marzpetaran,1.1.1,4.2.4.1,1010103,non-personnel recurrent,0
19459,106005 Gegharkunik Marzpetaran,1.1.1,4.2.5.2,1010103,non-personnel recurrent,2123000
19460,106005 Gegharkunik Marzpetaran,1.1.1,4.2.6.1,1010103,non-personnel recurrent,2930500
19461,106005 Gegharkunik Marzpetaran,1.1.1,4.2.6.4,1010103,non-personnel recurrent,6820000
19462,106005 Gegharkunik Marzpetaran,1.1.1,4.2.6.7,1010103,non-personnel recurrent,372000
19463,106005 Gegharkunik Marzpetaran,1.1.1,4.7.2.9,1010103,non-personnel recurrent,20000000
19464,106005 Gegharkunik Marzpetaran,1.1.1,4.8.2.0,1010103,non-personnel recurrent,377000
19465,106005 Gegharkunik Marzpetaran,1.1.1,4.8.2.3,1010103,non-personnel recurrent,0
19466,106006 Lori Marzpetaran,1.1.1,4.1.1.1,1010103,personnel,192340500
19467,106006 Lori Marzpetaran,1.1.1,4.1.1.3,1010103,personnel,17014400
19468,106006 Lori Marzpetaran,1.1.1,4.1.1.5,1010103,personnel,7545400
19469,106006 Lori Marzpetaran,1.1.1,4.1.3.1,1010103,personnel,34514500
19470,106006 Lori Marzpetaran,1.1.1,4.2.1.2,1010103,non-personnel recurrent,13837200
19471,106006 Lori Marzpetaran,1.1.1,4.2.1.3,1010103,non-personnel recurrent,423000
19472,106006 Lori Marzpetaran,1.1.1,4.2.1.4,1010103,non-personnel recurrent,12595100
19473,106006 Lori Marzpetaran,1.1.1,4.2.1.5,1010103,non-personnel recurrent,360000
19474,106006 Lori Marzpetaran,1.1.1,4.2.1.6,1010103,non-personnel recurrent,810000
19475,106006 Lori Marzpetaran,1.1.1,4.2.2.0,1010103,non-personnel recurrent,8368800
19476,106006 Lori Marzpetaran,1.1.1,4.2.2.1,1010103,non-personnel recurrent,0
19477,106006 Lori Marzpetaran,1.1.1,4.2.3.2,1010103,non-personnel recurrent,174000
19478,106006 Lori Marzpetaran,1.1.1,4.2.3.4,1010103,non-personnel recurrent,250000
19479,106006 Lori Marzpetaran,1.1.1,4.2.3.7,1010103,non-personnel recurrent,300000
19480,106006 Lori Marzpetaran,1.1.1,4.2.4.1,1010103,non-personnel recurrent,980000
19481,106006 Lori Marzpetaran,1.1.1,4.2.5.2,1010103,non-personnel recurrent,1573000
19482,106006 Lori Marzpetaran,1.1.1,4.2.6.1,1010103,non-personnel recurrent,1751100
19483,106006 Lori Marzpetaran,1.1.1,4.2.6.4,1010103,non-personnel recurrent,9128000
19484,106006 Lori Marzpetaran,1.1.1,4.2.6.7,1010103,non-personnel recurrent,199700
19485,106006 Lori Marzpetaran,1.1.1,4.7.2.9,1010103,non-personnel recurrent,20000000
19486,106006 Lori Marzpetaran,1.1.1,4.8.2.0,1010103,non-personnel recurrent,99000
19487,106006 Lori Marzpetaran,1.1.1,4.8.2.3,1010103,non-personnel recurrent,0
19488,106007 Kotayk Marzpetaran,1.1.1,4.1.1.1,1010103,personnel,168637300
19489,106007 Kotayk Marzpetaran,1.1.1,4.1.1.3,1010103,personnel,14347000
19490,106007 Kotayk Marzpetaran,1.1.1,4.1.1.5,1010103,personnel,5734300
19491,106007 Kotayk Marzpetaran,1.1.1,4.1.3.1,1010103,personnel,30720900
19492,106007 Kotayk Marzpetaran,1.1.1,4.2.1.2,1010103,non-personnel recurrent,14290400
19493,106007 Kotayk Marzpetaran,1.1.1,4.2.1.3,1010103,non-personnel recurrent,385000
19494,106007 Kotayk Marzpetaran,1.1.1,4.2.1.4,1010103,non-personnel recurrent,7236600
19495,106007 Kotayk Marzpetaran,1.1.1,4.2.1.5,1010103,non-personnel recurrent,320000
19496,106007 Kotayk Marzpetaran,1.1.1,4.2.1.6,1010103,non-personnel recurrent,6202000
19497,106007 Kotayk Marzpetaran,1.1.1,4.2.2.0,1010103,non-personnel recurrent,3107800
19498,106007 Kotayk Marzpetaran,1.1.1,4.2.2.1,1010103,non-personnel recurrent,0
19499,106007 Kotayk Marzpetaran,1.1.1,4.2.3.2,1010103,non-personnel recurrent,160000
19500,106007 Kotayk Marzpetaran,1.1.1,4.2.3.4,1010103,non-personnel recurrent,252200
19501,106007 Kotayk Marzpetaran,1.1.1,4.2.3.7,1010103,non-personnel recurrent,300000
19502,106007 Kotayk Marzpetaran,1.1.1,4.2.3.9,1010103,non-personnel recurrent,300000
19503,106007 Kotayk Marzpetaran,1.1.1,4.2.5.2,1010103,non-personnel recurrent,1500000
19504,106007 Kotayk Marzpetaran,1.1.1,4.2.6.1,1010103,non-personnel recurrent,2015000
19505,106007 Kotayk Marzpetaran,1.1.1,4.2.6.4,1010103,non-personnel recurrent,8312000
19506,106007 Kotayk Marzpetaran,1.1.1,4.2.6.7,1010103,non-personnel recurrent,278000
19507,106007 Kotayk Marzpetaran,1.1.1,4.7.2.9,1010103,non-personnel recurrent,20000000
19508,106007 Kotayk Marzpetaran,1.1.1,4.8.2.0,1010103,non-personnel recurrent,88000
19509,106007 Kotayk Marzpetaran,1.1.1,4.8.2.2,1010103,non-personnel recurrent,0
19510,106008 Shirak Marzpetaran,1.1.1,4.1.1.1,1010103,personnel,198342000
19511,106008 Shirak Marzpetaran,1.1.1,4.1.1.3,1010103,personnel,17408100
19512,106008 Shirak Marzpetaran,1.1.1,4.1.1.5,1010103,personnel,4582500
19513,106008 Shirak Marzpetaran,1.1.1,4.1.3.1,1010103,personnel,35928900
19514,106008 Shirak Marzpetaran,1.1.1,4.2.1.2,1010103,non-personnel recurrent,11315500
19515,106008 Shirak Marzpetaran,1.1.1,4.2.1.3,1010103,non-personnel recurrent,466700
19516,106008 Shirak Marzpetaran,1.1.1,4.2.1.4,1010103,non-personnel recurrent,13417500
19517,106008 Shirak Marzpetaran,1.1.1,4.2.1.5,1010103,non-personnel recurrent,320000
19518,106008 Shirak Marzpetaran,1.1.1,4.2.1.6,1010103,non-personnel recurrent,1193500
19519,106008 Shirak Marzpetaran,1.1.1,4.2.2.0,1010103,non-personnel recurrent,5370200
19520,106008 Shirak Marzpetaran,1.1.1,4.2.2.1,1010103,non-personnel recurrent,0
19521,106008 Shirak Marzpetaran,1.1.1,4.2.3.2,1010103,non-personnel recurrent,192000
19522,106008 Shirak Marzpetaran,1.1.1,4.2.3.4,1010103,non-personnel recurrent,310000
19523,106008 Shirak Marzpetaran,1.1.1,4.2.3.7,1010103,non-personnel recurrent,300000
19524,106008 Shirak Marzpetaran,1.1.1,4.2.4.1,1010103,non-personnel recurrent,150000
19525,106008 Shirak Marzpetaran,1.1.1,4.2.5.1,1010103,non-personnel recurrent,300000
19526,106008 Shirak Marzpetaran,1.1.1,4.2.5.2,1010103,non-personnel recurrent,1862000
19527,106008 Shirak Marzpetaran,1.1.1,4.2.6.1,1010103,non-personnel recurrent,1784100
19528,106008 Shirak Marzpetaran,1.1.1,4.2.6.4,1010103,non-personnel recurrent,8000000
19529,106008 Shirak Marzpetaran,1.1.1,4.2.6.7,1010103,non-personnel recurrent,250000
19530,106008 Shirak Marzpetaran,1.1.1,4.7.2.9,1010103,non-personnel recurrent,20000000
19531,106008 Shirak Marzpetaran,1.1.1,4.8.2.0,1010103,non-personnel recurrent,88000
19532,106008 Shirak Marzpetaran,1.1.1,4.8.2.2,1010103,non-personnel recurrent,0
19533,106009 Syunik Marzpetaran,1.1.1,4.1.1.1,1010103,personnel,169718900
19534,106009 Syunik Marzpetaran,1.1.1,4.1.1.3,1010103,personnel,14337100
19535,106009 Syunik Marzpetaran,1.1.1,4.1.1.5,1010103,personnel,3359200
19536,106009 Syunik Marzpetaran,1.1.1,4.1.3.1,1010103,personnel,30741500
19537,106009 Syunik Marzpetaran,1.1.1,4.2.1.2,1010103,non-personnel recurrent,6727200
19538,106009 Syunik Marzpetaran,1.1.1,4.2.1.3,1010103,non-personnel recurrent,408400
19539,106009 Syunik Marzpetaran,1.1.1,4.2.1.4,1010103,non-personnel recurrent,13217800
19540,106009 Syunik Marzpetaran,1.1.1,4.2.1.5,1010103,non-personnel recurrent,320000
19541,106009 Syunik Marzpetaran,1.1.1,4.2.1.6,1010103,non-personnel recurrent,1395700
19542,106009 Syunik Marzpetaran,1.1.1,4.2.2.0,1010103,non-personnel recurrent,15108100
19543,106009 Syunik Marzpetaran,1.1.1,4.2.2.1,1010103,non-personnel recurrent,0
19544,106009 Syunik Marzpetaran,1.1.1,4.2.3.2,1010103,non-personnel recurrent,1030000
19545,106009 Syunik Marzpetaran,1.1.1,4.2.3.4,1010103,non-personnel recurrent,650000
19546,106009 Syunik Marzpetaran,1.1.1,4.2.3.7,1010103,non-personnel recurrent,300000
19547,106009 Syunik Marzpetaran,1.1.1,4.2.3.9,1010103,non-personnel recurrent,400000
19548,106009 Syunik Marzpetaran,1.1.1,4.2.4.1,1010103,non-personnel recurrent,129400
19549,106009 Syunik Marzpetaran,1.1.1,4.2.5.2,1010103,non-personnel recurrent,2150000
19550,106009 Syunik Marzpetaran,1.1.1,4.2.6.1,1010103,non-personnel recurrent,934400
19551,106009 Syunik Marzpetaran,1.1.1,4.2.6.4,1010103,non-personnel recurrent,11112000
19552,106009 Syunik Marzpetaran,1.1.1,4.2.6.7,1010103,non-personnel recurrent,292500
19553,106009 Syunik Marzpetaran,1.1.1,4.2.6.9,1010103,non-personnel recurrent,60000
19554,106009 Syunik Marzpetaran,1.1.1,4.7.2.9,1010103,non-personnel recurrent,20000000
19555,106009 Syunik Marzpetaran,1.1.1,4.8.2.0,1010103,non-personnel recurrent,138000
19556,106009 Syunik Marzpetaran,1.1.1,4.8.2.3,1010103,non-personnel recurrent,0
19557,106009 Syunik Marzpetaran,1.1.1,4.8.6.1,1010103,non-personnel recurrent,88600
19558,106010 Vayots dzor Marzpetaran,1.1.1,4.1.1.1,1010103,personnel,121324700
19559,106010 Vayots dzor Marzpetaran,1.1.1,4.1.1.3,1010103,personnel,9603900
19560,106010 Vayots dzor Marzpetaran,1.1.1,4.1.1.5,1010103,personnel,2107800
19561,106010 Vayots dzor Marzpetaran,1.1.1,4.1.3.1,1010103,personnel,20928200
19562,106010 Vayots dzor Marzpetaran,1.1.1,4.2.1.2,1010103,non-personnel recurrent,6006400
19563,106010 Vayots dzor Marzpetaran,1.1.1,4.2.1.3,1010103,non-personnel recurrent,250900
19564,106010 Vayots dzor Marzpetaran,1.1.1,4.2.1.4,1010103,non-personnel recurrent,14479500
19565,106010 Vayots dzor Marzpetaran,1.1.1,4.2.1.5,1010103,non-personnel recurrent,320000
19566,106010 Vayots dzor Marzpetaran,1.1.1,4.2.1.6,1010103,non-personnel recurrent,412600
19567,106010 Vayots dzor Marzpetaran,1.1.1,4.2.2.0,1010103,non-personnel recurrent,4858600
19568,106010 Vayots dzor Marzpetaran,1.1.1,4.2.2.1,1010103,non-personnel recurrent,0
19569,106010 Vayots dzor Marzpetaran,1.1.1,4.2.3.2,1010103,non-personnel recurrent,95000
19570,106010 Vayots dzor Marzpetaran,1.1.1,4.2.3.4,1010103,non-personnel recurrent,276000
19571,106010 Vayots dzor Marzpetaran,1.1.1,4.2.3.7,1010103,non-personnel recurrent,300000
19572,106010 Vayots dzor Marzpetaran,1.1.1,4.2.3.9,1010103,non-personnel recurrent,100000
